composition_id,Nb_atoms,Ta_atoms,Ti_atoms,Zr_atoms,Nb_frac,Ta_frac,Ti_frac,Zr_frac
comp_000,3,3,9,33,0.062500,0.062500,0.187500,0.687500
comp_001,3,3,12,30,0.062500,0.062500,0.250000,0.625000
comp_002,3,3,15,27,0.062500,0.062500,0.312500,0.562500
comp_003,3,3,18,24,0.062500,0.062500,0.375000,0.500000
comp_004,3,3,21,21,0.062500,0.062500,0.437500,0.437500
comp_005,3,3,24,18,0.062500,0.062500,0.500000,0.375000
comp_006,3,3,27,15,0.062500,0.062500,0.562500,0.312500
comp_007,3,3,30,12,0.062500,0.062500,0.625000,0.250000
comp_008,3,3,33,9,0.062500,0.062500,0.687500,0.187500
comp_009,3,6,6,33,0.062500,0.125000,0.125000,0.687500
comp_010,3,6,9,30,0.062500,0.125000,0.187500,0.625000
comp_011,3,6,12,27,0.062500,0.125000,0.250000,0.562500
comp_012,3,6,15,24,0.062500,0.125000,0.312500,0.500000
comp_013,3,6,18,21,0.062500,0.125000,0.375000,0.437500
comp_014,3,6,21,18,0.062500,0.125000,0.437500,0.375000
comp_015,3,6,24,15,0.062500,0.125000,0.500000,0.312500
comp_016,3,6,27,12,0.062500,0.125000,0.562500,0.250000
comp_017,3,6,30,9,0.062500,0.125000,0.625000,0.187500
comp_018,3,6,33,6,0.062500,0.125000,0.687500,0.125000
comp_019,3,9,3,33,0.062500,0.187500,0.062500,0.687500
comp_020,3,9,6,30,0.062500,0.187500,0.125000,0.625000
comp_021,3,9,9,27,0.062500,0.187500,0.187500,0.562500
comp_022,3,9,12,24,0.062500,0.187500,0.250000,0.500000
comp_023,3,9,15,21,0.062500,0.187500,0.312500,0.437500
comp_024,3,9,18,18,0.062500,0.187500,0.375000,0.375000
comp_025,3,9,21,15,0.062500,0.187500,0.437500,0.312500
comp_026,3,9,24,12,0.062500,0.187500,0.500000,0.250000
comp_027,3,9,27,9,0.062500,0.187500,0.562500,0.187500
comp_028,3,9,30,6,0.062500,0.187500,0.625000,0.125000
comp_029,3,9,33,3,0.062500,0.187500,0.687500,0.062500
comp_030,3,12,3,30,0.062500,0.250000,0.062500,0.625000
comp_031,3,12,6,27,0.062500,0.250000,0.125000,0.562500
comp_032,3,12,9,24,0.062500,0.250000,0.187500,0.500000
comp_033,3,12,12,21,0.062500,0.250000,0.250000,0.437500
comp_034,3,12,15,18,0.062500,0.250000,0.312500,0.375000
comp_035,3,12,18,15,0.062500,0.250000,0.375000,0.312500
comp_036,3,12,21,12,0.062500,0.250000,0.437500,0.250000
comp_037,3,12,24,9,0.062500,0.250000,0.500000,0.187500
comp_038,3,12,27,6,0.062500,0.250000,0.562500,0.125000
comp_039,3,12,30,3,0.062500,0.250000,0.625000,0.062500
comp_040,3,15,3,27,0.062500,0.312500,0.062500,0.562500
comp_041,3,15,6,24,0.062500,0.312500,0.125000,0.500000
comp_042,3,15,9,21,0.062500,0.312500,0.187500,0.437500
comp_043,3,15,12,18,0.062500,0.312500,0.250000,0.375000
comp_044,3,15,15,15,0.062500,0.312500,0.312500,0.312500
comp_045,3,15,18,12,0.062500,0.312500,0.375000,0.250000
comp_046,3,15,21,9,0.062500,0.312500,0.437500,0.187500
comp_047,3,15,24,6,0.062500,0.312500,0.500000,0.125000
comp_048,3,15,27,3,0.062500,0.312500,0.562500,0.062500
comp_049,3,18,3,24,0.062500,0.375000,0.062500,0.500000
comp_050,3,18,6,21,0.062500,0.375000,0.125000,0.437500
comp_051,3,18,9,18,0.062500,0.375000,0.187500,0.375000
comp_052,3,18,12,15,0.062500,0.375000,0.250000,0.312500
comp_053,3,18,15,12,0.062500,0.375000,0.312500,0.250000
comp_054,3,18,18,9,0.062500,0.375000,0.375000,0.187500
comp_055,3,18,21,6,0.062500,0.375000,0.437500,0.125000
comp_056,3,18,24,3,0.062500,0.375000,0.500000,0.062500
comp_057,3,21,3,21,0.062500,0.437500,0.062500,0.437500
comp_058,3,21,6,18,0.062500,0.437500,0.125000,0.375000
comp_059,3,21,9,15,0.062500,0.437500,0.187500,0.312500
comp_060,3,21,12,12,0.062500,0.437500,0.250000,0.250000
comp_061,3,21,15,9,0.062500,0.437500,0.312500,0.187500
comp_062,3,21,18,6,0.062500,0.437500,0.375000,0.125000
comp_063,3,21,21,3,0.062500,0.437500,0.437500,0.062500
comp_064,3,24,3,18,0.062500,0.500000,0.062500,0.375000
comp_065,3,24,6,15,0.062500,0.500000,0.125000,0.312500
comp_066,3,24,9,12,0.062500,0.500000,0.187500,0.250000
comp_067,3,24,12,9,0.062500,0.500000,0.250000,0.187500
comp_068,3,24,15,6,0.062500,0.500000,0.312500,0.125000
comp_069,3,24,18,3,0.062500,0.500000,0.375000,0.062500
comp_070,3,27,3,15,0.062500,0.562500,0.062500,0.312500
comp_071,3,27,6,12,0.062500,0.562500,0.125000,0.250000
comp_072,3,27,9,9,0.062500,0.562500,0.187500,0.187500
comp_073,3,27,12,6,0.062500,0.562500,0.250000,0.125000
comp_074,3,27,15,3,0.062500,0.562500,0.312500,0.062500
comp_075,3,30,3,12,0.062500,0.625000,0.062500,0.250000
comp_076,3,30,6,9,0.062500,0.625000,0.125000,0.187500
comp_077,3,30,9,6,0.062500,0.625000,0.187500,0.125000
comp_078,3,30,12,3,0.062500,0.625000,0.250000,0.062500
comp_079,3,33,3,9,0.062500,0.687500,0.062500,0.187500
comp_080,3,33,6,6,0.062500,0.687500,0.125000,0.125000
comp_081,3,33,9,3,0.062500,0.687500,0.187500,0.062500
comp_082,6,3,6,33,0.125000,0.062500,0.125000,0.687500
comp_083,6,3,9,30,0.125000,0.062500,0.187500,0.625000
comp_084,6,3,12,27,0.125000,0.062500,0.250000,0.562500
comp_085,6,3,15,24,0.125000,0.062500,0.312500,0.500000
comp_086,6,3,18,21,0.125000,0.062500,0.375000,0.437500
comp_087,6,3,21,18,0.125000,0.062500,0.437500,0.375000
comp_088,6,3,24,15,0.125000,0.062500,0.500000,0.312500
comp_089,6,3,27,12,0.125000,0.062500,0.562500,0.250000
comp_090,6,3,30,9,0.125000,0.062500,0.625000,0.187500
comp_091,6,3,33,6,0.125000,0.062500,0.687500,0.125000
comp_092,6,6,3,33,0.125000,0.125000,0.062500,0.687500
comp_093,6,6,6,30,0.125000,0.125000,0.125000,0.625000
comp_094,6,6,9,27,0.125000,0.125000,0.187500,0.562500
comp_095,6,6,12,24,0.125000,0.125000,0.250000,0.500000
comp_096,6,6,15,21,0.125000,0.125000,0.312500,0.437500
comp_097,6,6,18,18,0.125000,0.125000,0.375000,0.375000
comp_098,6,6,21,15,0.125000,0.125000,0.437500,0.312500
comp_099,6,6,24,12,0.125000,0.125000,0.500000,0.250000
comp_100,6,6,27,9,0.125000,0.125000,0.562500,0.187500
comp_101,6,6,30,6,0.125000,0.125000,0.625000,0.125000
comp_102,6,6,33,3,0.125000,0.125000,0.687500,0.062500
comp_103,6,9,3,30,0.125000,0.187500,0.062500,0.625000
comp_104,6,9,6,27,0.125000,0.187500,0.125000,0.562500
comp_105,6,9,9,24,0.125000,0.187500,0.187500,0.500000
comp_106,6,9,12,21,0.125000,0.187500,0.250000,0.437500
comp_107,6,9,15,18,0.125000,0.187500,0.312500,0.375000
comp_108,6,9,18,15,0.125000,0.187500,0.375000,0.312500
comp_109,6,9,21,12,0.125000,0.187500,0.437500,0.250000
comp_110,6,9,24,9,0.125000,0.187500,0.500000,0.187500
comp_111,6,9,27,6,0.125000,0.187500,0.562500,0.125000
comp_112,6,9,30,3,0.125000,0.187500,0.625000,0.062500
comp_113,6,12,3,27,0.125000,0.250000,0.062500,0.562500
comp_114,6,12,6,24,0.125000,0.250000,0.125000,0.500000
comp_115,6,12,9,21,0.125000,0.250000,0.187500,0.437500
comp_116,6,12,12,18,0.125000,0.250000,0.250000,0.375000
comp_117,6,12,15,15,0.125000,0.250000,0.312500,0.312500
comp_118,6,12,18,12,0.125000,0.250000,0.375000,0.250000
comp_119,6,12,21,9,0.125000,0.250000,0.437500,0.187500
comp_120,6,12,24,6,0.125000,0.250000,0.500000,0.125000
comp_121,6,12,27,3,0.125000,0.250000,0.562500,0.062500
comp_122,6,15,3,24,0.125000,0.312500,0.062500,0.500000
comp_123,6,15,6,21,0.125000,0.312500,0.125000,0.437500
comp_124,6,15,9,18,0.125000,0.312500,0.187500,0.375000
comp_125,6,15,12,15,0.125000,0.312500,0.250000,0.312500
comp_126,6,15,15,12,0.125000,0.312500,0.312500,0.250000
comp_127,6,15,18,9,0.125000,0.312500,0.375000,0.187500
comp_128,6,15,21,6,0.125000,0.312500,0.437500,0.125000
comp_129,6,15,24,3,0.125000,0.312500,0.500000,0.062500
comp_130,6,18,3,21,0.125000,0.375000,0.062500,0.437500
comp_131,6,18,6,18,0.125000,0.375000,0.125000,0.375000
comp_132,6,18,9,15,0.125000,0.375000,0.187500,0.312500
comp_133,6,18,12,12,0.125000,0.375000,0.250000,0.250000
comp_134,6,18,15,9,0.125000,0.375000,0.312500,0.187500
comp_135,6,18,18,6,0.125000,0.375000,0.375000,0.125000
comp_136,6,18,21,3,0.125000,0.375000,0.437500,0.062500
comp_137,6,21,3,18,0.125000,0.437500,0.062500,0.375000
comp_138,6,21,6,15,0.125000,0.437500,0.125000,0.312500
comp_139,6,21,9,12,0.125000,0.437500,0.187500,0.250000
comp_140,6,21,12,9,0.125000,0.437500,0.250000,0.187500
comp_141,6,21,15,6,0.125000,0.437500,0.312500,0.125000
comp_142,6,21,18,3,0.125000,0.437500,0.375000,0.062500
comp_143,6,24,3,15,0.125000,0.500000,0.062500,0.312500
comp_144,6,24,6,12,0.125000,0.500000,0.125000,0.250000
comp_145,6,24,9,9,0.125000,0.500000,0.187500,0.187500
comp_146,6,24,12,6,0.125000,0.500000,0.250000,0.125000
comp_147,6,24,15,3,0.125000,0.500000,0.312500,0.062500
comp_148,6,27,3,12,0.125000,0.562500,0.062500,0.250000
comp_149,6,27,6,9,0.125000,0.562500,0.125000,0.187500
